Name,Company,Industry,Region,Company Size,Traffic Source,Site Visits,Session Duration,Emails Opened,Demo Requested,Days Since First Interaction,Converted
Laura Williams,"Thornton, Young and Davenport",Education,East,Small,Email,37,9.22,18,0,174,1
Sergio Hartman,Braun PLC,IT,South,Small,Webinar,7,20.58,7,0,182,0
Aaron Taylor,"Matthews, Weaver and Zavala",Healthcare,North,Medium,Ads,28,15.48,14,1,364,1
Tara Jones,Wright LLC,Finance,West,Large,Ads,7,19.43,19,1,216,0
Jamie Conley,"Daugherty, Ramsey and Lindsey",Education,North,Medium,Email,3,14.52,20,0,207,0
Lisa Hill,Harris-Frazier,Retail,East,Small,Email,36,29.16,13,0,64,1
Tammy Donaldson,Mcdonald and Sons,Finance,West,Medium,Ads,15,17.66,8,0,158,0
Daniel Fleming,French-Foster,Retail,West,Large,Email,26,16.47,11,1,366,1
Caleb Marshall,"Moore, Williams and Carpenter",Finance,North,Medium,Organic,50,22.19,15,0,193,1
Stephanie Key,Johnson-Brady,Healthcare,East,Small,Ads,23,7.94,9,1,237,1
Theresa Holder,Hanson-Adams,Retail,West,Medium,Ads,44,2.46,1,0,359,0
Jonathon Jones,Moore-Barnes,Education,East,Medium,Organic,7,18.87,7,1,150,0
Emily Huang,"Reynolds, Montgomery and Scott",Finance,South,Medium,Webinar,43,28.16,8,0,24,0
Jennifer Harrison,Newman-Lloyd,Education,West,Small,Ads,44,5.54,14,1,112,1
Erik Holland,Barton and Sons,IT,South,Small,Organic,28,13.67,4,1,222,0
George Payne,Jordan Ltd,Retail,East,Medium,Organic,43,17.84,5,1,91,0
Bonnie Adams,Johnson-Burton,IT,South,Small,Email,36,11.47,9,0,25,1
Sonia Moody,"Johnson, Waters and Thompson",Retail,East,Medium,Organic,32,21.94,15,1,9,1
Joshua Mendoza,Crosby LLC,Finance,North,Small,Email,9,9.99,20,1,37,1
Michelle Lee,Vasquez-Olsen,Education,West,Medium,Ads,36,13.78,5,0,10,1
Michael Zavala,Fowler and Sons,Education,East,Large,Webinar,34,7.25,9,0,351,0
Gregory Nguyen,Phillips Inc,Education,West,Small,Email,16,10.73,7,1,301,1
Colin Stevens,Barron-Franklin,Retail,West,Medium,Email,43,24.77,8,0,350,0
George White,Herrera Ltd,Healthcare,East,Small,Webinar,46,29.48,2,1,81,0
Lauren Hernandez,Brown LLC,Education,North,Small,Ads,39,4.72,1,1,17,0
Allison Smith,"Owens, Hubbard and Richardson",Healthcare,West,Large,Webinar,22,20.85,12,0,36,0
Melanie Bailey,Lopez-Hamilton,IT,West,Large,Organic,26,5.35,1,0,40,1
Shirley Hansen,Smith-Nguyen,Healthcare,South,Small,Organic,47,16.32,6,0,185,1
Debra Crosby,Horton-Williams,Finance,West,Large,Ads,45,1.37,5,0,291,1
Jane White,"Frederick, Brown and Miller",Finance,East,Medium,Ads,41,27.68,4,0,302,1
Kyle Anderson,"Lopez, Green and Allen",Finance,East,Medium,Webinar,6,26.44,7,0,71,1
Brandon Bryant,"Black, Kline and Vasquez",Finance,North,Small,Ads,35,4.4,13,0,222,0
Mr. Donald Bridges,Wall-Hill,Finance,West,Small,Organic,14,25.02,1,1,92,1
Michael Edwards,"Francis, Pierce and Willis",Retail,South,Medium,Email,45,29.33,8,0,168,1
Emma Brown,Luna-Allen,IT,West,Medium,Ads,6,22.15,20,0,192,0
Raymond Cooley,Johnson-Smith,Healthcare,West,Medium,Webinar,6,12.06,7,0,116,1
Loretta Fernandez,Cook-Davis,Healthcare,South,Medium,Webinar,16,17.79,16,1,92,1
William Fox,"Smith, Avila and Ortega",Healthcare,South,Medium,Webinar,13,15.56,1,1,287,0
Matthew Nichols,York LLC,IT,West,Large,Email,30,23.77,13,0,239,1
Sara Myers,Mcintyre-Walker,Finance,West,Small,Webinar,18,23.24,18,0,123,0
Garrett Todd,"Harper, Myers and Fowler",IT,North,Small,Email,10,17.35,11,0,347,0
Gregory Jenkins,Chandler LLC,Retail,West,Medium,Email,14,17.24,7,0,259,0
Erika Calderon,Hood Ltd,IT,South,Small,Email,30,4.58,15,1,360,1
Christopher Ortega,Phillips LLC,IT,North,Large,Webinar,37,10.42,7,0,366,1
Melissa Bailey,"Bray, Hansen and Douglas",Retail,East,Medium,Ads,33,26.86,14,0,88,1
James Hogan,White PLC,Retail,East,Medium,Webinar,3,21.86,8,1,304,0
Brianna Huff,"Hodge, Lawson and Adams",IT,East,Large,Email,21,25.62,13,0,156,0
David Kelly,Moses and Sons,Healthcare,North,Large,Email,47,16.78,10,1,170,1
