Name,Company,Industry,Region,Company Size,Traffic Source,Site Visits,Session Duration,Emails Opened,Demo Requested,Days Since First Interaction,Converted,Engagement Score,Source Impact Score
Laura Williams,"Thornton, Young and Davenport",Education,East,Small,Email,37,9.22,18,0,174,1,0.632598115356736,0.6447777327388191
Sergio Hartman,Braun PLC,IT,South,Small,Webinar,7,20.58,7,0,182,0,0.32567049808429116,0.6421080578786672
Aaron Taylor,"Matthews, Weaver and Zavala",Healthcare,North,Medium,Ads,28,15.48,14,1,364,1,0.5628041834938387,0.6415917503966155
Tara Jones,Wright LLC,Finance,West,Large,Ads,7,19.43,19,1,216,0,0.4380242311276794,0.6415917503966155
Jamie Conley,"Daugherty, Ramsey and Lindsey",Education,North,Medium,Email,3,14.52,20,0,207,0,0.3561147354250802,0.6447777327388191
Lisa Hill,Harris-Frazier,Retail,East,Small,Email,36,29.16,13,0,64,1,0.7769493631562596,0.6447777327388191
Tammy Donaldson,Mcdonald and Sons,Finance,West,Medium,Ads,15,17.66,8,0,158,0,0.38863000931966446,0.6415917503966155
Daniel Fleming,French-Foster,Retail,West,Large,Email,26,16.47,11,1,366,1,0.5212799005902454,0.6447777327388191
Caleb Marshall,"Moore, Williams and Carpenter",Finance,North,Medium,Organic,50,22.19,15,0,193,1,0.8704566635601118,0.6340975739802719
Stephanie Key,Johnson-Brady,Healthcare,East,Small,Ads,23,7.94,9,1,237,1,0.3811742777260018,0.6415917503966155
Theresa Holder,Hanson-Adams,Retail,West,Medium,Ads,44,2.46,1,0,359,0,0.4590452521487004,0.6415917503966155
Jonathon Jones,Moore-Barnes,Education,East,Medium,Organic,7,18.87,7,1,150,0,0.30796313554934246,0.6340975739802719
Emily Huang,"Reynolds, Montgomery and Scott",Finance,South,Medium,Webinar,43,28.16,8,0,24,0,0.7873045459252355,0.6421080578786672
Jennifer Harrison,Newman-Lloyd,Education,West,Small,Ads,44,5.54,14,1,112,1,0.6255565910738324,0.6415917503966155
Erik Holland,Barton and Sons,IT,South,Small,Organic,28,13.67,4,1,222,0,0.44050947499223364,0.6340975739802719
George Payne,Jordan Ltd,Retail,East,Medium,Organic,43,17.84,5,1,91,0,0.649373511442477,0.6340975739802719
Bonnie Adams,Johnson-Burton,IT,South,Small,Email,36,11.47,9,0,25,1,0.552345448897173,0.6447777327388191
Sonia Moody,"Johnson, Waters and Thompson",Retail,East,Medium,Organic,32,21.94,15,1,9,1,0.6814745780263021,0.6340975739802719
Joshua Mendoza,Crosby LLC,Finance,North,Small,Email,9,9.99,20,1,37,1,0.3713368540954748,0.6447777327388191
Michelle Lee,Vasquez-Olsen,Education,West,Medium,Ads,36,13.78,5,0,10,1,0.5348451900176038,0.6415917503966155
Michael Zavala,Fowler and Sons,Education,East,Large,Webinar,34,7.25,9,0,351,0,0.48793621207414306,0.6421080578786672
Gregory Nguyen,Phillips Inc,Education,West,Small,Email,16,10.73,7,1,301,1,0.31686859273066176,0.6447777327388191
Colin Stevens,Barron-Franklin,Retail,West,Medium,Email,43,24.77,8,0,350,0,0.7522004763384073,0.6447777327388191
George White,Herrera Ltd,Healthcare,East,Small,Webinar,46,29.48,2,1,81,0,0.7699078388733561,0.6421080578786672
Lauren Hernandez,Brown LLC,Education,North,Small,Ads,39,4.72,1,1,17,0,0.4306720513617065,0.6415917503966155
